Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:25:54 2022 ; 1868 ;; 83.08 ;;
Thu Dec  1 10:25:55 2022 ; 1869 ;; 83.04 ;;
Thu Dec  1 10:25:56 2022 ; 1870 ;; 82.99 ;;
Thu Dec  1 10:25:57 2022 ; 1871 ;; 82.95 ;;
Thu Dec  1 10:25:59 2022 ; 1872 ;; 82.91 ;;
Thu Dec  1 10:26:00 2022 ; 1873 ;; 82.86 ;;
Thu Dec  1 10:26:01 2022 ; 1874 ;; 82.82 ;;
Thu Dec  1 10:26:02 2022 ; 1875 ;; 82.77 ;;
Thu Dec  1 10:26:03 2022 ; 1876 ;; 82.73 ;;
Thu Dec  1 10:26:04 2022 ; 1877 ;; 82.69 ;;
Thu Dec  1 10:26:05 2022 ; 1878 ;; 82.64 ;;
Thu Dec  1 10:26:06 2022 ; 1879 ;; 82.6 ;;
Thu Dec  1 10:26:07 2022 ; 1880 ;; 82.55 ;;
Thu Dec  1 10:26:08 2022 ; 1881 ;; 82.51 ;;
Thu Dec  1 10:26:09 2022 ; 1882 ;; 82.47 ;;
Thu Dec  1 10:26:10 2022 ; 1883 ;; 82.42 ;;
Thu Dec  1 10:26:12 2022 ; 1884 ;; 82.38 ;;
Thu Dec  1 10:26:13 2022 ; 1885 ;; 82.33 ;;
Thu Dec  1 10:26:14 2022 ; 1886 ;; 82.29 ;;
Thu Dec  1 10:26:15 2022 ; 1887 ;; 82.25 ;;
Thu Dec  1 10:26:16 2022 ; 1888 ;; 82.2 ;;
Thu Dec  1 10:26:17 2022 ; 1889 ;; 82.16 ;;
Thu Dec  1 10:26:18 2022 ; 1890 ;; 82.12 ;;
Thu Dec  1 10:26:19 2022 ; 1891 ;; 82.07 ;;
Thu Dec  1 10:26:20 2022 ; 1892 ;; 82.03 ;;
Thu Dec  1 10:26:21 2022 ; 1893 ;; 81.99 ;;
Thu Dec  1 10:26:22 2022 ; 1894 ;; 81.94 ;;
Thu Dec  1 10:26:23 2022 ; 1895 ;; 81.9 ;;
Thu Dec  1 10:26:24 2022 ; 1896 ;; 81.86 ;;
Thu Dec  1 10:26:25 2022 ; 1897 ;; 81.81 ;;
Thu Dec  1 10:26:26 2022 ; 1898 ;; 81.77 ;;
Thu Dec  1 10:26:28 2022 ; 1899 ;; 81.73 ;;
Thu Dec  1 10:26:29 2022 ; 1900 ;; 81.68 ;;
Thu Dec  1 10:26:30 2022 ; 1901 ;; 81.64 ;;
Thu Dec  1 10:26:31 2022 ; 1902 ;; 81.6 ;;
Thu Dec  1 10:26:32 2022 ; 1903 ;; 81.56 ;;
Thu Dec  1 10:26:33 2022 ; 1904 ;; 81.51 ;;
Thu Dec  1 10:26:34 2022 ; 1905 ;; 81.47 ;;
Thu Dec  1 10:26:35 2022 ; 1906 ;; 81.43 ;;
Thu Dec  1 10:26:36 2022 ; 1907 ;; 81.38 ;;
Thu Dec  1 10:26:37 2022 ; 1908 ;; 81.34 ;;
Thu Dec  1 10:26:38 2022 ; 1909 ;; 81.3 ;;
Thu Dec  1 10:26:39 2022 ; 1910 ;; 81.26 ;;
Thu Dec  1 10:26:40 2022 ; 1911 ;; 81.21 ;;
Thu Dec  1 10:26:41 2022 ; 1912 ;; 81.17 ;;
Thu Dec  1 10:26:43 2022 ; 1913 ;; 81.13 ;;
Thu Dec  1 10:26:44 2022 ; 1914 ;; 81.09 ;;
Thu Dec  1 10:26:45 2022 ; 1915 ;; 81.04 ;;
Thu Dec  1 10:26:46 2022 ; 1916 ;; 81.0 ;;
Thu Dec  1 10:26:47 2022 ; 1917 ;; 80.96 ;;
Thu Dec  1 10:26:48 2022 ; 1918 ;; 80.92 ;;
Thu Dec  1 10:26:49 2022 ; 1919 ;; 80.88 ;;
Thu Dec  1 10:26:50 2022 ; 1920 ;; 80.83 ;;
Thu Dec  1 10:26:51 2022 ; 1921 ;; 80.79 ;;
Thu Dec  1 10:26:52 2022 ; 1922 ;; 80.75 ;;
Thu Dec  1 10:26:53 2022 ; 1923 ;; 80.71 ;;
Thu Dec  1 10:26:54 2022 ; 1924 ;; 80.67 ;;
Thu Dec  1 10:26:56 2022 ; 1925 ;; 80.62 ;;
Thu Dec  1 10:26:57 2022 ; 1926 ;; 80.58 ;;
Thu Dec  1 10:26:58 2022 ; 1927 ;; 80.54 ;;
Thu Dec  1 10:26:59 2022 ; 1928 ;; 80.5 ;;
Thu Dec  1 10:27:00 2022 ; 1929 ;; 80.46 ;;
Thu Dec  1 10:27:01 2022 ; 1930 ;; 80.41 ;;
Thu Dec  1 10:27:02 2022 ; 1931 ;; 80.37 ;;
Thu Dec  1 10:27:03 2022 ; 1932 ;; 80.33 ;;
Thu Dec  1 10:27:04 2022 ; 1933 ;; 80.29 ;;
Thu Dec  1 10:27:05 2022 ; 1934 ;; 80.25 ;;
